"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.12.2025","15,28","15,23","15,42","15,04","4,78M","0,39%"
"11.12.2025","15,22","15,21","15,46","15,10","4,49M","-0,20%"
"10.12.2025","15,25","15,12","15,41","15,10","1,96M","0,86%"
"09.12.2025","15,12","15,15","15,27","14,78","1,85M","0,53%"
"08.12.2025","15,04","15,35","15,43","15,01","2,71M","-1,51%"
"05.12.2025","15,27","15,65","15,82","15,08","7,84M","-2,55%"
"04.12.2025","15,67","15,57","15,83","15,41","7,48M","0,19%"
"03.12.2025","15,64","15,76","15,83","15,39","2,24M","-0,76%"
"02.12.2025","15,76","15,66","16,04","15,64","3,54M","0,64%"
"01.12.2025","15,66","15,46","15,78","15,42","4,75M","0,19%"
"28.11.2025","15,63","15,56","15,72","15,34","3,08M","0,19%"
"27.11.2025","15,60","15,52","15,76","15,49","1,03M","-0,51%"
"26.11.2025","15,68","15,24","15,68","15,13","7,93M","4,53%"
"25.11.2025","15,00","14,34","15,00","14,13","4,44M","4,53%"
"24.11.2025","14,35","14,30","14,49","14,25","2,92M","1,06%"
"21.11.2025","14,20","13,78","14,48","13,76","4,17M","1,79%"
"19.11.2025","13,95","13,76","14,04","13,61","4,62M","1,45%"
"18.11.2025","13,75","13,84","13,99","13,63","5,43M","-0,72%"
"17.11.2025","13,85","14,07","14,11","13,82","2,08M","-1,35%"
"14.11.2025","14,04","14,40","14,44","13,86","8,01M","-1,13%"
"13.11.2025","14,20","14,35","14,36","13,77","5,02M","-1,32%"
"12.11.2025","14,39","14,65","14,65","14,26","2,19M","-1,17%"
"11.11.2025","14,56","14,22","14,65","14,19","4,10M","1,53%"
"10.11.2025","14,34","14,27","14,46","14,16","3,42M","1,20%"
"07.11.2025","14,17","14,20","14,31","13,85","4,79M","-1,39%"
"06.11.2025","14,37","14,65","14,69","14,22","3,49M","-2,31%"
"05.11.2025","14,71","14,21","14,75","14,20","1,96M","2,87%"
"04.11.2025","14,30","14,33","14,57","14,16","1,93M","-1,65%"
"03.11.2025","14,54","14,70","14,76","14,29","4,66M","-0,34%"
"31.10.2025","14,59","14,58","14,61","14,31","2,37M","0,83%"
"30.10.2025","14,47","14,36","14,65","14,35","1,67M","-0,55%"
"29.10.2025","14,55","14,36","14,57","14,23","2,41M","2,18%"
"28.10.2025","14,24","14,28","14,48","14,22","1,02M","-0,42%"
"27.10.2025","14,30","14,52","14,70","14,29","2,00M","-0,49%"
"24.10.2025","14,37","14,37","14,53","14,22","1,65M","0,00%"
